model,method,ERR,ERR_cross_article,entity_articles,entity_mentions,entities_per_article,TCI,TCI_article_mass
most_popular,original,0.1189624911587932,0.07212167498392606,7.590414,53.3109,5.6757798571428575,0.05926105982833455,0.06727998670065982
most_popular,traditional_entity_eac,0.11800166253101042,0.07228298436356624,7.762316,61.331786,6.365246657142857,0.05923321502611276,0.06690011706105499
most_popular,entity_eac,0.10000141784904065,0.0533246568597343,7.81762,56.993218,6.141749657142857,0.05831854563384719,0.06578561679017549
most_popular,traditional_topic_eac,0.10810035021507201,0.0668630240004634,7.675386,52.492668,5.686249057142858,0.053733923489627584,0.060234294768075895
most_popular,topic_eac,0.10791360473049008,0.06620458551321784,7.661444,52.28581,5.671283457142858,0.05251972840755525,0.05909093179720412
most_popular,category_eac,0.11560734663357955,0.06865313412930636,7.595386,52.409226,5.622786857142858,0.05671913843356116,0.06438730330947369
most_popular,traditional_mv_eac,0.11157213290705745,0.06833522061240528,7.711344,56.16711,5.981009657142857,0.05447194080067922,0.06142200100436604
most_popular,mv_eac,0.1095367394256199,0.06470678911984719,7.825016,55.794922,5.966189257142856,0.053729607657935136,0.06058449796891519
most_popular,ablation_no_entity,0.10849280250081987,0.06539030820634817,7.63856,51.726122,5.6168486571428575,0.053172958437316856,0.059971675695950966
most_popular,ablation_no_topic,0.11068366270210693,0.0629562545251468,7.848468,58.48807,6.188283457142857,0.056847735473774724,0.0642173302592691
most_popular,ablation_no_category,0.10807277060690705,0.06447762143657501,7.855664,56.96571,6.080975257142857,0.05353241653280004,0.06025906460718031
itemknn,original,0.11832464718728838,0.07656974033613102,7.652002,52.85421,5.646993657142857,0.05907883134393014,0.06740351912018633
itemknn,traditional_entity_eac,0.11685725315623946,0.07267935848508439,7.793216,61.162688,6.364079657142857,0.05924277863271225,0.06712104353091683
itemknn,entity_eac,0.10373429526602564,0.05915546489671484,7.869582,59.728194,6.354699057142858,0.05853792051929825,0.06624171953064134
itemknn,traditional_topic_eac,0.10771285873478986,0.06782607259442659,7.686414,52.528388,5.693214057142858,0.053720617327694495,0.06034730842857882
itemknn,topic_eac,0.10778928407276905,0.06689018101524634,7.67081,52.32269,5.675556057142858,0.05259636291070652,0.059157464804105504
itemknn,category_eac,0.11640406919494961,0.07197457186577268,7.638072,52.235156,5.604220857142857,0.05678818499092999,0.06477553506046344
itemknn,traditional_mv_eac,0.11091065402428403,0.06907760862877081,7.727374,56.087038,5.980358257142857,0.054527239541073885,0.06160605772934108
itemknn,mv_eac,0.10952079454220869,0.06528265910114445,7.830052,55.719908,5.960323857142858,0.05373506769629523,0.0606436616850978
itemknn,ablation_no_entity,0.10875719514801697,0.06611260127706238,7.648506,51.713046,5.614434657142857,0.05317562433735615,0.060005353332646116
itemknn,ablation_no_topic,0.1109628982409734,0.06360835916437067,7.857042,58.544128,6.192010457142858,0.056780396114740145,0.06431666744325483
itemknn,ablation_no_category,0.10779491060111288,0.0648915941984206,7.857494,56.867748,6.074843457142856,0.05354649595751858,0.060330222867377784
nrms,original,0.10826011779924863,0.0727247468803171,7.748088,51.060574,5.562306057142857,0.06026362931350462,0.06788396858177265
nrms,traditional_entity_eac,0.10813533166503364,0.072161070831688,7.788684,53.52651,5.778325657142857,0.06048497923074204,0.06800465039661518
nrms,entity_eac,0.09785010451071699,0.0610492733572384,7.86624,53.1813,5.819596857142857,0.05967950566675334,0.06713680920611578
nrms,traditional_topic_eac,0.10422357704450498,0.06745066653729037,7.7267,51.721222,5.646565057142857,0.05440969343564601,0.061065464727808286
nrms,topic_eac,0.10411335919533937,0.06736071247865442,7.731134,51.123632,5.594530857142856,0.05364695623542979,0.06046967480770869
nrms,category_eac,0.10665391681793186,0.06900334560560076,7.70807,50.347004,5.507688657142857,0.057425286250278866,0.06482051071132176
nrms,traditional_mv_eac,0.10632978254575388,0.06951854838162204,7.761612,53.0544,5.751491857142856,0.05627327730711838,0.06341257481638957
nrms,mv_eac,0.1028435427316078,0.06488656103171868,7.846144,52.334052,5.710306857142857,0.05517859067884501,0.0621390057825467
nrms,ablation_no_entity,0.1056616596244258,0.0667168720759162,7.696576,50.543798,5.532922857142857,0.054235042752316436,0.06114988273339587
nrms,ablation_no_topic,0.10269305671948084,0.06374101754060359,7.860348,53.18334,5.786507457142857,0.05778183765795268,0.06501413297288955
nrms,ablation_no_category,0.10114594613137044,0.06431545685220551,7.862608,52.899496,5.772307857142858,0.05489501085748073,0.06186849277294518
