model,method,metric,mean_zero_rule,mean_max_rule,delta,d,share_lists_changed
most_popular,entity_eac,NDCG@K,0.4045450568019092,0.3981967416527903,-0.006348315149118926,-0.12912914901696368,0.30692
most_popular,entity_eac,ILD@K,0.8004970000000001,0.8022712222222221,0.0017742222222222222,0.08701100322931404,0.30692
most_popular,entity_eac,Entropy,1.3505562149362307,1.3564360347903515,0.005879819854120546,0.09419313610577462,0.30692
most_popular,entity_eac,ERR@K,0.09947594405941712,0.09736830988577547,-0.002107634173641678,-0.14846951318213644,0.30692
most_popular,entity_eac,TCI@K,0.058164635511281634,0.05815518343005139,-9.452081230233362e-06,-0.0028628562876942196,0.30692
most_popular,mv_eac,NDCG@K,0.4657125265213121,0.4623825020325569,-0.0033300244887551718,-0.07106802603474481,0.28992
most_popular,mv_eac,ILD@K,0.8249294444444445,0.8277245555555556,0.002795111111111112,0.23273236873164688,0.28992
most_popular,mv_eac,Entropy,1.4358100184168558,1.4472861229966638,0.011476104579808188,0.25427989930711226,0.28992
most_popular,mv_eac,ERR@K,0.10888861432502712,0.10755265640188073,-0.001335957923146366,-0.10086034071019218,0.28992
most_popular,mv_eac,TCI@K,0.05357604876270323,0.05328027036108962,-0.00029577840161360675,-0.14023639125365184,0.28992
itemknn,entity_eac,NDCG@K,0.44846206030805347,0.4445890913730626,-0.003872968934990894,-0.09380215048943698,0.29914
itemknn,entity_eac,ILD@K,0.7938956666666668,0.795329888888889,0.0014342222222222221,0.07431117392859346,0.29914
itemknn,entity_eac,Entropy,1.329391203853095,1.3348337752826478,0.005442571429552677,0.09291993886516645,0.29914
itemknn,entity_eac,ERR@K,0.10310032270982435,0.10090638257063829,-0.0021939401391860495,-0.182483796169125,0.29914
itemknn,entity_eac,TCI@K,0.058326362123296824,0.05820594459214527,-0.00012041753115155336,-0.04088323559842502,0.29914
itemknn,mv_eac,NDCG@K,0.47077845243066024,0.4678271808755881,-0.002951271555072161,-0.0656374891781286,0.2815
itemknn,mv_eac,ILD@K,0.8246605555555556,0.8275267777777777,0.0028662222222222227,0.23551945350593118,0.2815
itemknn,mv_eac,Entropy,1.4347550881266122,1.4466039627555785,0.011848874628966142,0.25724010206682607,0.2815
itemknn,mv_eac,ERR@K,0.10878374484204457,0.1074220751420154,-0.001361669700029165,-0.1049020308053289,0.2815
itemknn,mv_eac,TCI@K,0.05357733754585237,0.05327027292856416,-0.00030706461728821155,-0.12968905417606771,0.2815
nrms,entity_eac,NDCG@K,0.4994220778372064,0.4991293164904055,-0.0002927613468009263,-0.007014078609339967,0.2287
nrms,entity_eac,ILD@K,0.7884352222222224,0.7894001111111112,0.0009648888888888888,0.05867215840271667,0.2287
nrms,entity_eac,Entropy,1.3161549777043635,1.3193629243488143,0.003207946644450891,0.06601832904029982,0.2287
nrms,entity_eac,ERR@K,0.09714317973062898,0.09508989617606532,-0.0020532835545636584,-0.14892466802021123,0.2287
nrms,entity_eac,TCI@K,0.05946917563816249,0.05946154611076085,-7.629527401644022e-06,-0.0028010588671306988,0.2287
nrms,mv_eac,NDCG@K,0.4949015999819461,0.493126030723168,-0.0017755692587781305,-0.041938742404482726,0.25046
nrms,mv_eac,ILD@K,0.8175330000000001,0.8203961111111112,0.0028631111111111114,0.21354801042751165,0.25046
nrms,mv_eac,Entropy,1.4072524593870595,1.4185344761509349,0.011282016763875562,0.23521709555755038,0.25046
nrms,mv_eac,ERR@K,0.10212943884170433,0.10060339604865243,-0.0015260427930519063,-0.12215212562654407,0.25046
nrms,mv_eac,TCI@K,0.055017031814356944,0.05474379209348481,-0.0002732397208721381,-0.1088287651864904,0.25046
