model,comparison,variant,d
itemknn,mv_eac vs topic_eac,TCI_article_mass,0.3253180265516969
itemknn,mv_eac vs original,ERR,-0.20922227864857626
itemknn,mv_eac vs original,ERR_cross_article,-0.3736444370519455
itemknn,mv_eac vs original,entity_articles,0.368662252037772
itemknn,mv_eac vs original,entity_mentions,0.23043894702591536
itemknn,mv_eac vs original,entities_per_article,0.28601224068162395
itemknn,mv_eac vs original,TCI,-0.471131511987822
itemknn,mv_eac vs original,TCI_article_mass,-0.4436434621823079
itemknn,ablation_no_entity vs mv_eac,ERR,-0.025381119037800923
itemknn,ablation_no_entity vs mv_eac,ERR_cross_article,0.052210123342470244
itemknn,ablation_no_entity vs mv_eac,entity_articles,-0.3921606089900256
itemknn,ablation_no_entity vs mv_eac,entity_mentions,-0.35854748331585407
itemknn,ablation_no_entity vs mv_eac,entities_per_article,-0.36518206809918796
itemknn,ablation_no_entity vs mv_eac,TCI,-0.2288642793516664
itemknn,ablation_no_entity vs mv_eac,TCI_article_mass,-0.1668928765106249
itemknn,ablation_no_topic vs mv_eac,ERR,0.04486447107737664
itemknn,ablation_no_topic vs mv_eac,ERR_cross_article,-0.10492118477717208
itemknn,ablation_no_topic vs mv_eac,entity_articles,0.15806183188445325
itemknn,ablation_no_topic vs mv_eac,entity_mentions,0.28196003441067896
itemknn,ablation_no_topic vs mv_eac,entities_per_article,0.28554285906089816
itemknn,ablation_no_topic vs mv_eac,TCI,0.49557655129918
itemknn,ablation_no_topic vs mv_eac,TCI_article_mass,0.465023227723466
nrms,entity_eac vs traditional_entity_eac,ERR,-0.335839738749747
nrms,entity_eac vs traditional_entity_eac,ERR_cross_article,-0.40928947486715
nrms,entity_eac vs traditional_entity_eac,entity_articles,0.25890397130709975
nrms,entity_eac vs traditional_entity_eac,entity_mentions,-0.04572224433368562
nrms,entity_eac vs traditional_entity_eac,entities_per_article,0.0722208346893187
nrms,entity_eac vs traditional_entity_eac,TCI,-0.13086275535738404
nrms,entity_eac vs traditional_entity_eac,TCI_article_mass,-0.12063907419472068
nrms,topic_eac vs traditional_topic_eac,ERR,-0.0050608309561913515
nrms,topic_eac vs traditional_topic_eac,ERR_cross_article,-0.0060089910048524
nrms,topic_eac vs traditional_topic_eac,entity_articles,0.02020586926329061
nrms,topic_eac vs traditional_topic_eac,entity_mentions,-0.10313171421776865
nrms,topic_eac vs traditional_topic_eac,entities_per_article,-0.10624297093002073
nrms,topic_eac vs traditional_topic_eac,TCI,-0.23963739598345118
nrms,topic_eac vs traditional_topic_eac,TCI_article_mass,-0.14067866548827251
nrms,mv_eac vs traditional_mv_eac,ERR,-0.1348050974435754
nrms,mv_eac vs traditional_mv_eac,ERR_cross_article,-0.250473033714052
nrms,mv_eac vs traditional_mv_eac,entity_articles,0.2731239913610388
nrms,mv_eac vs traditional_mv_eac,entity_mentions,-0.105244075970776
nrms,mv_eac vs traditional_mv_eac,entities_per_article,-0.07292759963791812
nrms,mv_eac vs traditional_mv_eac,TCI,-0.23219645536242378
nrms,mv_eac vs traditional_mv_eac,TCI_article_mass,-0.20751530357379508
nrms,mv_eac vs topic_eac,ERR,-0.04792182060188161
nrms,mv_eac vs topic_eac,ERR_cross_article,-0.14293234780299072
nrms,mv_eac vs topic_eac,entity_articles,0.3140908422123927
nrms,mv_eac vs topic_eac,entity_mentions,0.16124871679313843
nrms,mv_eac vs topic_eac,entities_per_article,0.18125336062530298
nrms,mv_eac vs topic_eac,TCI,0.3966837777515759
nrms,mv_eac vs topic_eac,TCI_article_mass,0.3248724573909252
nrms,mv_eac vs original,ERR,-0.14945208883861094
nrms,mv_eac vs original,ERR_cross_article,-0.2872154440924503
nrms,mv_eac vs original,entity_articles,0.27883693561376505
nrms,mv_eac vs original,entity_mentions,0.1435349169714741
nrms,mv_eac vs original,entities_per_article,0.195991831769974
nrms,mv_eac vs original,TCI,-0.41939202772628703
nrms,mv_eac vs original,TCI_article_mass,-0.41252644372518704
nrms,ablation_no_entity vs mv_eac,ERR,0.11659208446804627
nrms,ablation_no_entity vs mv_eac,ERR_cross_article,0.12304853119237717
nrms,ablation_no_entity vs mv_eac,entity_articles,-0.359113560118023
nrms,ablation_no_entity vs mv_eac,entity_mentions,-0.2718284771330444
nrms,ablation_no_entity vs mv_eac,entities_per_article,-0.31028699926821024
nrms,ablation_no_entity vs mv_eac,TCI,-0.29385027299886085
nrms,ablation_no_entity vs mv_eac,TCI_article_mass,-0.22279788063992362
nrms,ablation_no_topic vs mv_eac,ERR,-0.006334921802936767
nrms,ablation_no_topic vs mv_eac,ERR_cross_article,-0.07916559975965327
nrms,ablation_no_topic vs mv_eac,entity_articles,0.11393399731980262
nrms,ablation_no_topic vs mv_eac,entity_mentions,0.1280686672083502
nrms,ablation_no_topic vs mv_eac,entities_per_article,0.1344765093189767
nrms,ablation_no_topic vs mv_eac,TCI,0.43765786176356264
nrms,ablation_no_topic vs mv_eac,TCI_article_mass,0.41227789573269896
