model,method,reported_lambda,reported_beta,unrestricted_lambda,unrestricted_beta,delta_NDCG@K,delta_Entropy,delta_ERR@K,delta_TCI@K
most_popular,topic_eac,0.9,0.9,0.9,2.0,-0.0010114770758726799,0.0010240782304289375,0.00025650597957030397,-0.00019859809009090124
most_popular,entity_eac,0.1,0.9,0.9,2.0,0.033239172144246265,-0.01242197545674295,0.0003223070194397909,3.0962456682499806e-05
most_popular,mv_eac,0.9,0.9,0.9,2.0,-0.0009180566016778191,0.0038426321878999303,-0.0011661557925519012,1.8599426007993858e-05
itemknn,topic_eac,0.9,0.7,0.9,1.0,-0.0003252866008744415,0.0004475239698793487,3.7864278356211645e-05,-0.0001040244444506025
itemknn,entity_eac,0.9,0.9,0.7,2.0,-0.00028525254015082657,0.006582678474853276,-0.0032912421019958005,-0.00017294573344140557
itemknn,mv_eac,0.9,0.9,0.9,2.0,-0.0013915115009671686,0.004462696088917362,-0.001225956441925205,1.1027902542003198e-05
nrms,topic_eac,0.3,0.7,0.1,1.0,0.005571527569926404,-0.0009019866525179498,0.00027774956657429517,0.00014969822012499828
nrms,entity_eac,0.1,0.9,0.1,2.0,-0.0011983782946335952,0.0073042160561220815,-0.0042324190144849005,-0.00035149848170299564
nrms,mv_eac,0.3,0.9,0.1,1.5,0.0020244845953131807,0.0074701504611807135,-0.00024008434825541214,7.921544589929719e-05
