model,method,n,NDCG@K,ILD@K,Entropy,ERR@K,TCI@K
itemknn,sweep_wtopic_0.15,195327,0.3061334400335451,0.8806160381764369,1.7109923807037908,0.1236082882348344,0.03868459526615043
itemknn,sweep_wtopic_0.50,195327,0.31118402981593507,0.8681295127316414,1.670209192062547,0.12115438083887696,0.03525971680373874
itemknn,sweep_wtopic_0.70,195327,0.30996182844894493,0.8566154875328723,1.6293492931802207,0.12016024196106952,0.034206248028224036
itemknn,sweep_wtopic_0.85,195327,0.3088726321104278,0.8470039130961584,1.5966917554835485,0.11950485710653533,0.03371727973680514
itemknn,sweep_wtopic_1.00,195327,0.306111464167203,0.8343535598139418,1.5551579371781998,0.11830210557811932,0.03342382026100108
itemknn,topic_eac,195327,0.3069697044134598,0.8343027049227422,1.5542141488732444,0.11813627049283093,0.033622305140336685
itemknn,traditional_category_eac,195327,0.30100775482937914,0.8420433427022379,1.5853725208721863,0.13466599754025593,0.04641570604620175
itemknn,traditional_entity_eac,195327,0.2924678497438949,0.7804159748069192,1.3843106935828937,0.14134854806702807,0.05063586630189071
itemknn,traditional_mv_eac,195327,0.3158561408385145,0.8437380506648964,1.5876109424304699,0.12612638438265406,0.038564982369719635
itemknn,traditional_sentiment_eac,195327,0.2881221418670455,0.799209530684442,1.4365545441198406,0.13931164970899565,0.049548757352212563
itemknn,traditional_topic_eac,195327,0.31485247739940964,0.8280832768753026,1.5301577440259653,0.11794063615149766,0.03650018279418889
nrms,ablation_no_category,195327,0.34822942150851094,0.8095021283397698,1.4698067378572353,0.10113058786472874,0.039506407048353016
nrms,ablation_no_entity,195327,0.3344861747824049,0.8760470618216859,1.6977048701571047,0.11268995623944235,0.037817014119663456
nrms,ablation_no_topic,195327,0.33907724227471175,0.8619544547235036,1.6428375212378452,0.10509089695694437,0.0468961350441548
nrms,category_eac,195327,0.3402604285301907,0.8718520452597157,1.6779303517725095,0.11522994608597167,0.04598343119964326
nrms,entity_eac,195327,0.3581690205481651,0.7829571265962549,1.3931939039332366,0.09269385965855798,0.0517538045133031
nrms,mcf_category,195327,0.35513833925210525,0.8359459891475435,1.5674858861544798,0.11613956265365936,0.047756492140341715
nrms,mcf_entity,195327,0.3594352895773094,0.771687477921639,1.3673906329168413,0.12170400832920172,0.05331229530614802
nrms,mcf_sentiment,195327,0.34744555877966277,0.7844242958958283,1.3951313472374187,0.1168541372908083,0.05122415199483848
nrms,mcf_topic,195327,0.3581236544400483,0.7906614719589884,1.4121922356392174,0.11882836934442235,0.04969762195630758
nrms,mv4_at_mv3params,195327,0.34071327989145095,0.8514732275164781,1.6070248703189323,0.10702933708449316,0.042000011329070136
nrms,mv_eac,195327,0.34454302413879584,0.8571818312652913,1.6256628327047582,0.10547611254958379,0.04023231749945368
nrms,original,195327,0.358722925292949,0.7748337687854499,1.3761420098653836,0.11934151535524004,0.053249050041958325
nrms,sentiment_eac,195327,0.34658871136686353,0.7870463376798907,1.4047372461142245,0.11679996580899339,0.0515693485108565
nrms,sweep_wtopic_0.00,195327,0.33907724227471175,0.8619544547235036,1.6428375212378452,0.10509089695694437,0.0468961350441548
nrms,sweep_wtopic_0.15,195327,0.3441414199934503,0.8610512400003868,1.6382586172626927,0.10457636485179929,0.042919595614204685
nrms,sweep_wtopic_0.50,195327,0.34358058252334045,0.851263323099782,1.6065731445080638,0.10632174631862355,0.03849586416167448
nrms,sweep_wtopic_0.70,195327,0.3410192486153553,0.84125878939192,1.5741178490367933,0.10737463163013522,0.036940869538731234
nrms,sweep_wtopic_0.85,195327,0.3383175527809577,0.8321813619667988,1.545300299216458,0.10805341169495794,0.036093273908018926
nrms,sweep_wtopic_1.00,195327,0.33471085291341324,0.8224561319678739,1.515768845393631,0.10951453189600141,0.03550467518310576
nrms,topic_eac,195327,0.3373348614772134,0.8199213512611047,1.5059872305019832,0.10872660138044583,0.03631162439656668
nrms,traditional_category_eac,195327,0.34227420128375385,0.8384940808661031,1.574344784836581,0.1169862557893544,0.046718288679349636
nrms,traditional_entity_eac,195327,0.35718616656790264,0.7678291048117033,1.3548908847757712,0.11902208656604296,0.05381566376468336
nrms,traditional_mv_eac,195327,0.3448424681487668,0.8231286224866221,1.5236734298080974,0.11440022394776761,0.04303450723326768
nrms,traditional_sentiment_eac,195327,0.3482625602606374,0.7846264639979793,1.3955653747246168,0.11680786976911149,0.05116692014595635
nrms,traditional_topic_eac,195327,0.33165349985109804,0.8188766074895489,1.5011453072736185,0.10900873812847763,0.0382640866783204
