model,method,n_impressions,median_ms,mean_ms,p95_ms,median_candidates
most_popular,original,2000,0.00016693957149982452,0.0001627297606319189,0.00029103830456733704,9.0
most_popular,traditional_category,2000,0.11835386976599693,0.11663951771333814,0.18109565135091543,9.0
most_popular,category_eac,2000,0.15581201296299696,0.15227301744744182,0.23118051467463374,9.0
most_popular,mcf_category,2000,0.1437499886378646,0.17523404490202665,0.40013755206018686,9.0
most_popular,traditional_entity,2000,2.4891251232475042,3.51673598063644,8.793955924920732,9.0
most_popular,entity_eac,2000,2.673916518688202,3.7268759899307042,9.471320651937274,9.0
most_popular,mcf_entity,2000,1.0784794576466084,1.4981020035920665,3.8845248986035577,9.0
most_popular,traditional_topic,2000,0.13897905591875315,0.15103830432053655,0.2699601463973522,9.0
most_popular,topic_eac,2000,0.18220848869532347,0.19016417814418674,0.31516283052042116,9.0
most_popular,mcf_topic,2000,0.40931254625320435,0.5198677452281117,1.248144055716693,9.0
most_popular,traditional_sentiment,2000,0.09789597243070602,0.09471115213818848,0.13316906988620758,9.0
most_popular,sentiment_eac,2000,0.1386875519528985,0.13208243309054524,0.18088954966515303,9.0
most_popular,mcf_sentiment,2000,0.12866640463471413,0.1539861363125965,0.3403979819267987,9.0
most_popular,traditional_mv,2000,2.804020536132157,3.9499917909270152,10.089610342402011,9.0
most_popular,mv_eac,2000,3.503291984088719,4.614697402110323,11.817387223709371,9.0
itemknn,original,2000,0.00016693957149982452,0.0001536182826384902,0.00029103830456733704,9.0
itemknn,traditional_category,2000,0.11416710913181305,0.1157788917189464,0.18141698092222214,9.0
itemknn,category_eac,2000,0.15691656153649092,0.15596694615669549,0.2364664920605719,9.0
itemknn,mcf_category,2000,0.14562509022653103,0.17050821532029659,0.3763496642932296,9.0
itemknn,traditional_entity,2000,2.4702714290469885,3.4815869356971234,8.857306255958974,9.0
itemknn,entity_eac,2000,2.7646039379760623,3.830473887734115,9.638687374535946,9.0
itemknn,mcf_entity,2000,1.0778959840536118,1.4843216517474502,3.8033438147976972,9.0
itemknn,traditional_topic,2000,0.13895798474550247,0.15070713916793466,0.2624191693030298,9.0
itemknn,topic_eac,2000,0.18168753013014793,0.18927346053533256,0.3138435655273497,9.0
itemknn,mcf_topic,2000,0.41687546763569117,0.5098370786290616,1.1859965045005076,9.0
itemknn,traditional_sentiment,2000,0.09881251025944948,0.09529450302943587,0.13296003453433514,9.0
itemknn,sentiment_eac,2000,0.13947952538728714,0.13218783272895962,0.18091803649440408,9.0
itemknn,mcf_sentiment,2000,0.1312915701419115,0.15019897592719644,0.31331281643360853,9.0
itemknn,traditional_mv,2000,2.8695414075627923,4.076247199438512,10.1463733240962,9.0
itemknn,mv_eac,2000,3.511811955831945,4.5789711837423965,11.712950468063354,9.0
nrms,original,2000,0.00016693957149982452,0.00018330011516809464,0.0002919696271419525,9.0
nrms,traditional_category,2000,0.11420855298638344,0.11493432335555553,0.1816517324186861,9.0
nrms,category_eac,2000,0.15664601232856512,0.15323765436187387,0.2302582492120564,9.0
nrms,mcf_category,2000,0.14408351853489876,0.16901646577753127,0.36397562362253655,9.0
nrms,traditional_entity,2000,2.4105414049699903,3.3966400015633553,8.6189724272117,9.0
nrms,entity_eac,2000,2.761666546575725,3.79892689245753,9.56402749288827,9.0
nrms,mcf_entity,2000,1.1049375170841813,1.5112281016772613,3.871434042230248,9.0
nrms,traditional_topic,2000,0.1397295854985714,0.1515248689102009,0.2636459073983133,9.0
nrms,topic_eac,2000,0.183208379894495,0.19142112392000854,0.3115899744443595,9.0
nrms,mcf_topic,2000,0.41399989277124405,0.5099451418500394,1.1961539858020842,9.0
nrms,traditional_sentiment,2000,0.09822938591241837,0.09522005822509527,0.1349642057903111,9.0
nrms,sentiment_eac,2000,0.13883388601243496,0.13166519638616592,0.18117522122338414,9.0
nrms,mcf_sentiment,2000,0.13156246859580278,0.1497671736869961,0.31107271788641805,9.0
nrms,traditional_mv,2000,2.9602295253425837,4.124166690511629,10.4405123507604,9.0
nrms,mv_eac,2000,3.5702295135706663,4.665970915346406,11.867550085298717,9.0
