model,method,n_impressions,median_ms,mean_ms,p95_ms,median_candidates
most_popular,original,2000,0.00016693957149982452,0.00018018996343016624,0.0002919696271419525,17.0
most_popular,traditional_category,2000,0.14802091754972935,0.15621568716596812,0.21038545528426766,17.0
most_popular,category_eac,2000,0.19383314065635204,0.2012550497893244,0.2547771204262972,17.0
most_popular,mcf_category,2000,0.26729097589850426,0.29922689171507955,0.5255291354842484,17.0
most_popular,traditional_entity,2000,4.9850414507091045,6.398842966649681,15.980633359868074,17.0
most_popular,entity_eac,2000,5.406478885561228,6.898982597980648,17.038802686147385,17.0
most_popular,mcf_entity,2000,2.200145972892642,2.6092201912542805,5.4460935993120065,17.0
most_popular,traditional_topic,2000,0.19920803606510162,0.22607170219998807,0.3408662159927189,17.0
most_popular,topic_eac,2000,0.24360395036637783,0.26239404710941017,0.3765057073906062,17.0
most_popular,mcf_topic,2000,0.7972914027050138,0.8977663904661313,1.6101295594125986,17.0
most_popular,traditional_sentiment,2000,0.11974992230534554,0.12254564091563225,0.14484345447272062,17.0
most_popular,sentiment_eac,2000,0.1654794905334711,0.16873159690294415,0.1922163413837552,17.0
most_popular,mcf_sentiment,2000,0.22364547476172447,0.25094383605755866,0.435270252637565,17.0
most_popular,traditional_mv,2000,6.126250023953617,7.740550841554068,18.07870789198204,17.0
most_popular,mv_eac,2000,6.83364609722048,8.419925171183422,18.286290194373574,17.0
itemknn,original,2000,0.00016693957149982452,0.00017983547877520323,0.0002919696271419525,17.0
itemknn,traditional_category,2000,0.1465205568820238,0.15389206050895154,0.2075021155178547,17.0
itemknn,category_eac,2000,0.19652093760669231,0.20779520575888455,0.2671728725545108,17.0
itemknn,mcf_category,2000,0.25533337611705065,0.28590038954280317,0.4934084718115627,17.0
itemknn,traditional_entity,2000,4.988416563719511,6.386760631459765,15.656878764275453,17.0
itemknn,entity_eac,2000,5.442791501991451,6.90213720779866,16.979335772339248,17.0
itemknn,mcf_entity,2000,2.175041474401951,2.5762360523222014,5.304520460776984,17.0
itemknn,traditional_topic,2000,0.19395851995795965,0.23423172207549214,0.3313085762783885,17.0
itemknn,topic_eac,2000,0.24079205468297005,0.281179579324089,0.3793441108427941,17.0
itemknn,mcf_topic,2000,0.772229628637433,0.8679227250395343,1.5096852206625038,17.0
itemknn,traditional_sentiment,2000,0.11993746738880873,0.12339301232714206,0.14866702258586884,17.0
itemknn,sentiment_eac,2000,0.16641663387417793,0.17009700753260404,0.1959686283953488,17.0
itemknn,mcf_sentiment,2000,0.21375005599111319,0.2407924779690802,0.41174330981448287,17.0
itemknn,traditional_mv,2000,6.034020450897515,7.78832955728285,19.212812627665684,17.0
itemknn,mv_eac,2000,6.568395532667637,8.2082229279913,18.458554451353848,17.0
nrms,original,2000,0.0001671724021434784,0.00020869937725365162,0.00045798951759934425,17.0
nrms,traditional_category,2000,0.1493955496698618,0.1567057587672025,0.2120977034792304,17.0
nrms,category_eac,2000,0.19537494517862797,0.20285558432806283,0.255837116856128,17.0
nrms,mcf_category,2000,0.2511459169909358,0.2821910325437784,0.48483723076060414,17.0
nrms,traditional_entity,2000,5.018312484025955,6.508828893653117,16.73939122119918,17.0
nrms,entity_eac,2000,5.502479034475982,6.981328857480548,17.196527402848,17.0
nrms,mcf_entity,2000,2.2135834442451596,2.6165027851238847,5.418148497119545,17.0
nrms,traditional_topic,2000,0.19579206127673388,0.21371539414394647,0.3267225343734025,17.0
nrms,topic_eac,2000,0.24593749549239874,0.2676596814999357,0.37996115861460567,17.0
nrms,mcf_topic,2000,0.7834789576008916,0.875013921642676,1.5408548759296536,17.0
nrms,traditional_sentiment,2000,0.1193750649690628,0.12268656480591744,0.1454190001823008,17.0
nrms,sentiment_eac,2000,0.167124904692173,0.17039231932722032,0.1963351503945887,17.0
nrms,mcf_sentiment,2000,0.21170848049223423,0.23903617437463254,0.4078794387169182,17.0
nrms,traditional_mv,2000,6.198832998052239,7.872473535360768,18.90391856431961,17.0
nrms,mv_eac,2000,6.525896023958921,8.086557876551524,17.928098142147054,17.0
