family,comparison,metric,n,delta,d_pooled,d_min,d_max,all_models_sig_holm
E_Ablation_vs_MV,no_category vs mv_eac,NDCG@K,1500000,0.0034310048589663565,0.019139362971673648,0.014441652897888301,0.022485035200617735,True
E_Ablation_vs_MV,no_category vs mv_eac,ILD@K,1500000,-0.019186148148148147,-0.44378151233482277,-0.4518737031742621,-0.42868266397524624,True
E_Ablation_vs_MV,no_category vs mv_eac,Entropy,1500000,-0.06571029193863943,-0.4614230026960747,-0.468330147791507,-0.44798355368086695,True
E_Ablation_vs_MV,no_category vs mv_eac,ERR@K,1500000,-0.0016291497866820046,-0.06862629684853908,-0.07576418045336956,-0.06003489901463795,True
E_Ablation_vs_MV,no_category vs mv_eac,TCI@K,1500000,-0.000223114228425344,-0.0884003165841493,-0.09738509447144875,-0.08188296133412085,True
E_Ablation_vs_MV,no_entity vs mv_eac,NDCG@K,1500000,-0.0035154804766345756,-0.020419513371503065,-0.03867500968742925,-0.011059349852393052,True
E_Ablation_vs_MV,no_entity vs mv_eac,ILD@K,1500000,0.005043629629629628,0.2956811107081884,0.25814422501122425,0.35674971540495015,True
E_Ablation_vs_MV,no_entity vs mv_eac,Entropy,1500000,0.01992591672693615,0.3225719355954326,0.287032441397488,0.3814042831011987,True
E_Ablation_vs_MV,no_entity vs mv_eac,ERR@K,1500000,0.00033686019127542835,0.011852504482992212,-0.0343311315251079,0.11659208446804627,True
E_Ablation_vs_MV,no_entity vs mv_eac,TCI@K,1500000,-0.0006865468353619806,-0.25229519432629,-0.29385027299886085,-0.2288642793516663,True
E_Ablation_vs_MV,no_topic vs mv_eac,NDCG@K,1500000,-0.012733035304837846,-0.052705841209121466,-0.07071885350752251,-0.03174912900911256,True
E_Ablation_vs_MV,no_topic vs mv_eac,ILD@K,1500000,0.0024967999999999987,0.15828905874692853,0.1107475263275796,0.18724078324889398,True
E_Ablation_vs_MV,no_topic vs mv_eac,Entropy,1500000,0.0073464763436784436,0.1476963264148892,0.13229206668666718,0.1577973672108314,True
E_Ablation_vs_MV,no_topic vs mv_eac,ERR@K,1500000,0.000812846987708265,0.02755262450524993,-0.006334921802936767,0.04486447107737664,True
E_Ablation_vs_MV,no_topic vs mv_eac,TCI@K,1500000,0.002922234404464055,0.4771314593173955,0.43765786176356264,0.49780188263506636,True
F_Sweep_vs_MV,no_topic vs mv_eac (== sweep w_topic=0.00),NDCG@K,1500000,-0.012733035304837846,-0.052705841209121466,-0.07071885350752251,-0.03174912900911256,True
F_Sweep_vs_MV,no_topic vs mv_eac (== sweep w_topic=0.00),ILD@K,1500000,0.0024967999999999987,0.15828905874692853,0.1107475263275796,0.18724078324889398,True
F_Sweep_vs_MV,no_topic vs mv_eac (== sweep w_topic=0.00),Entropy,1500000,0.0073464763436784436,0.1476963264148892,0.13229206668666718,0.1577973672108314,True
F_Sweep_vs_MV,no_topic vs mv_eac (== sweep w_topic=0.00),ERR@K,1500000,0.000812846987708265,0.02755262450524993,-0.006334921802936767,0.04486447107737664,True
F_Sweep_vs_MV,no_topic vs mv_eac (== sweep w_topic=0.00),TCI@K,1500000,0.002922234404464055,0.4771314593173955,0.43765786176356264,0.49780188263506636,True
F_Sweep_vs_MV,sweep w_topic=0.15 vs mv_eac,NDCG@K,1500000,-0.004810314433324916,-0.03186765803021263,-0.0456596063956155,-0.011837800226454682,True
F_Sweep_vs_MV,sweep w_topic=0.15 vs mv_eac,ILD@K,1500000,0.0018894074074074063,0.1485765301818649,0.11431450133660548,0.16837252425292223,True
F_Sweep_vs_MV,sweep w_topic=0.15 vs mv_eac,Entropy,1500000,0.005600751496947465,0.13675337824303466,0.12132476143967615,0.1471192157258573,True
F_Sweep_vs_MV,sweep w_topic=0.15 vs mv_eac,ERR@K,1500000,0.0001611914806755986,0.007521190056853098,-0.020882562297184135,0.018203727011614386,True
F_Sweep_vs_MV,sweep w_topic=0.15 vs mv_eac,TCI@K,1500000,0.000916314103491775,0.3281976399831011,0.32727396677469,0.33266618077477716,True
F_Sweep_vs_MV,sweep w_topic=0.50 vs mv_eac,NDCG@K,1500000,0.0018646483815232648,0.014972348196265741,0.003616958858784904,0.026243952588281244,True
F_Sweep_vs_MV,sweep w_topic=0.50 vs mv_eac,ILD@K,1500000,-0.0026055555555555545,-0.18110502799967287,-0.19418243417552458,-0.15648143121233435,True
F_Sweep_vs_MV,sweep w_topic=0.50 vs mv_eac,Entropy,1500000,-0.00894467549096866,-0.181415124112978,-0.19320158284886496,-0.1579481430522037,True
F_Sweep_vs_MV,sweep w_topic=0.50 vs mv_eac,ERR@K,1500000,-0.0002602312013551855,-0.013690299770821373,-0.02714869913210975,0.021163520597994534,True
F_Sweep_vs_MV,sweep w_topic=0.50 vs mv_eac,TCI@K,1500000,-0.0005581072588366272,-0.2713969890198073,-0.28500729247017137,-0.2660036106110179,True
F_Sweep_vs_MV,sweep w_topic=0.70 vs mv_eac,NDCG@K,1500000,0.001819230878154912,0.010536635390713742,-0.0010012242295036643,0.020766232619021295,False
F_Sweep_vs_MV,sweep w_topic=0.70 vs mv_eac,ILD@K,1500000,-0.006915777777777776,-0.27876005636766066,-0.2979211920073621,-0.2446672527459848,True
F_Sweep_vs_MV,sweep w_topic=0.70 vs mv_eac,Entropy,1500000,-0.023868795406537004,-0.2804976622866033,-0.29820978222123723,-0.24656674236435133,True
F_Sweep_vs_MV,sweep w_topic=0.70 vs mv_eac,ERR@K,1500000,-0.00041588211988950844,-0.01652781967371302,-0.03893297088950911,0.0346075924590542,True
F_Sweep_vs_MV,sweep w_topic=0.70 vs mv_eac,TCI@K,1500000,-0.0010347262241650577,-0.3671435586581054,-0.38379907978606476,-0.3633918772127939,True
F_Sweep_vs_MV,sweep w_topic=0.85 vs mv_eac,NDCG@K,1500000,0.0009053169791357863,0.004537326357094667,-0.009766012711976614,0.014844480514085975,True
F_Sweep_vs_MV,sweep w_topic=0.85 vs mv_eac,ILD@K,1500000,-0.0106024,-0.32313889921386785,-0.34227323455751013,-0.2897149431720391,True
F_Sweep_vs_MV,sweep w_topic=0.85 vs mv_eac,Entropy,1500000,-0.03614958175602643,-0.32834987133535665,-0.3471979185250383,-0.2934977270570637,True
F_Sweep_vs_MV,sweep w_topic=0.85 vs mv_eac,ERR@K,1500000,-0.0004952210080061642,-0.01754462408685125,-0.043210934857588576,0.04124565830565289,True
F_Sweep_vs_MV,sweep w_topic=0.85 vs mv_eac,TCI@K,1500000,-0.0012744469928832884,-0.39969860962806114,-0.4209421324932604,-0.3945927345311606,True
F_Sweep_vs_MV,sweep w_topic=1.00 vs mv_eac,NDCG@K,1500000,-0.0009214862936222907,-0.003936340527025575,-0.018588691981676144,0.0053887594236014065,True
F_Sweep_vs_MV,sweep w_topic=1.00 vs mv_eac,ILD@K,1500000,-0.015148755555555555,-0.3589910109096337,-0.37843320384751283,-0.3208175979260331,True
F_Sweep_vs_MV,sweep w_topic=1.00 vs mv_eac,Entropy,1500000,-0.05062553887259594,-0.37128508371840585,-0.39298993958520395,-0.32854681518750867,True
F_Sweep_vs_MV,sweep w_topic=1.00 vs mv_eac,ERR@K,1500000,-0.0005707454512685871,-0.017981401518009962,-0.04956036171222213,0.058065875406669146,True
F_Sweep_vs_MV,sweep w_topic=1.00 vs mv_eac,TCI@K,1500000,-0.0014243317764903853,-0.4153402082416223,-0.4416309053255919,-0.4094808347815545,True
H_SentimentAddBack,mv4 vs mv_eac,NDCG@K,1500000,-0.004980225494523316,-0.024235912049202505,-0.027979156256011772,-0.018191405898121647,True
H_SentimentAddBack,mv4 vs mv_eac,ILD@K,1500000,-0.0007919703703703702,-0.06190309543002396,-0.14632843343975208,-0.004262202661600613,True
H_SentimentAddBack,mv4 vs mv_eac,Entropy,1500000,-0.0029099342126139914,-0.07253735350670851,-0.15830325892214692,-0.016832057410282757,True
H_SentimentAddBack,mv4 vs mv_eac,ERR@K,1500000,0.0013413718044913369,0.05391188567877832,0.029541600703587724,0.06392624008043848,True
H_SentimentAddBack,mv4 vs mv_eac,TCI@K,1500000,0.0004308263355802766,0.18091038589707972,0.1425621541111162,0.2383108923554905,True
