model,sd_rel,sd_kl_category,sd_ucb_category,sd_kl_entity,sd_ucb_entity,sd_kl_topic,sd_ucb_topic,flip_category,flip_entity,flip_topic,mean_kl_category,mean_ucb_category,mean_kl_entity,mean_ucb_entity,mean_kl_topic,mean_ucb_topic
itemknn,0.026017789694498167,0.045773190633091376,0.05955687590330343,0.03630343045933894,0.07372605007998631,0.09263275952085648,0.035616431111761535,0.4196,0.3529,0.5569666666666667,4.2075838294166115,0.7816732112323603,14.400141707662971,1.0993306118138413,8.581392194770885,0.9898494137753704
most_popular,0.02155859891708728,0.045757927443100935,0.058680275656394124,0.03622546923425114,0.07339090006645889,0.09270029981611784,0.03547954072470634,0.4187666666666667,0.3616,0.5611333333333334,4.198602453971653,0.7824890549854338,14.434195740683219,1.107322196956556,8.64144850517835,0.9883556261599495
nrms,0.17079899797103526,0.02043120678001571,0.06319783145429159,0.016036900256630293,0.07592797245008862,0.039505034113304464,0.036952764829458945,0.4280333333333333,0.2966,0.45863333333333334,4.564225443210625,0.788570414567549,14.649740960567517,1.096414856605953,9.018950414452103,1.0025992020864678
