view,n_users,median_history_len,median_ms,mean_ms,p95_ms
category,1649,191.0,0.03833393566310406,0.04924988891452713,0.1283501740545034
entity,1649,191.0,0.44654193334281445,0.49702129484899227,0.890233600512147
topic,1649,191.0,0.1071668229997158,0.1387115112709739,0.36023338325321663
sentiment,1649,191.0,0.03570900298655033,0.046985421844816265,0.12642471119761464
